Name,LastSeen,FirstSeen,NetLastSeen,NetFirstSeen,IpAddress,MacAddress,IsOnline,SerialNumber,HardwareMACAddress,AirWatchID,MerakiID,BatteryLevel,SpaceInternalRemaining,SpaceInternalTotal,IsPosi2_6_0Installed,IsMACRandomizationDisableInstalled
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/15/2023 15:35,10.44.1.100,,TRUE,,101EDA60F28B,0,k4c1eaf,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/21/2023 15:12,10.10.2.103,,TRUE,,101EDA5DA928,0,k74a795,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,3/31/2023 20:50,10.10.2.115,,TRUE,,7A32A92592EB,0,kab9a11,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/21/2023 15:03,10.10.2.104,,TRUE,,101EDA5F0796,0,kc4c1a5,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/21/2023 15:12,10.10.2.106,,TRUE,,101EDA5D354A,0,ke27b1c,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,9/16/2023 15:13,10.10.2.100,,TRUE,,101EDA5DA8F4,0,kfab6c4,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/21/2023 15:05,10.10.2.101,,TRUE,,101EDA5DA8DA,0,k57a02e,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 1:54,8/4/2023 16:48,10.10.1.104,,FALSE,,101EDA5A3D62,0,k8a2483,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/4/2023 16:10,10.10.1.106,,TRUE,,101EDA5D38C6,0,k97a3b1,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/4/2023 16:43,10.10.1.101,,TRUE,,101EDA5AC8A2,0,k054d8e,0,0,0,FALSE,FALSE
